age,annual_income_inr,bank_balance_inr,education_level,purpose_of_visit,prior_approvals,english_level,legal_charges,visa_approved
25,688400,248400,bachelors,education,4,good,no,1
36,3446700,2274500,phd,education,1,fluent,no,1
20,1622300,1179800,bachelors,travel,0,good,no,1
50,637200,564000,bachelors,business,5,basic,no,1
66,701700,336700,bachelors,business,0,fluent,no,1
78,629900,271500,bachelors,medical,1,basic,no,0
48,1187800,1045100,masters,travel,8,good,no,1
73,443300,379700,bachelors,business,1,fluent,no,1
80,630000,532500,masters,education,7,good,no,1
72,295300,179100,masters,business,1,fluent,no,1
47,607600,372600,bachelors,medical,1,fluent,no,1
38,970500,821000,high_school,travel,0,fluent,no,1
79,695800,354800,bachelors,business,1,fluent,no,1
33,717500,222500,bachelors,business,1,fluent,no,1
43,881600,783700,bachelors,travel,6,good,no,1
22,560500,438100,masters,travel,7,fluent,no,1
68,547900,105200,high_school,education,0,fluent,no,0
58,1234500,289300,bachelors,travel,0,basic,no,0
23,1151300,934400,masters,travel,3,basic,no,1
31,1850800,695600,phd,business,2,good,no,1
52,1516200,1019300,bachelors,business,0,good,yes,0
52,778000,185400,high_school,medical,0,basic,no,0
68,511000,142000,bachelors,business,0,good,yes,0
34,626100,444900,bachelors,medical,2,good,no,1
76,2188600,1935700,bachelors,travel,0,basic,no,0
46,899200,473600,bachelors,business,4,good,no,1
69,835700,152300,bachelors,business,1,fluent,no,1
33,606100,197400,masters,business,1,good,no,1
20,719400,222700,bachelors,education,2,good,no,1
21,1442400,1228100,masters,travel,0,fluent,no,1
41,762700,354200,bachelors,travel,7,fluent,no,1
78,568500,489300,bachelors,education,4,good,no,0
21,645900,513300,bachelors,travel,6,basic,no,1
41,2081600,1016000,phd,medical,2,basic,no,1
24,1092300,184200,bachelors,medical,1,fluent,no,0
76,1014800,892700,bachelors,education,0,fluent,no,0
60,964100,151900,bachelors,education,2,fluent,no,1
66,507400,401900,masters,education,3,fluent,no,1
62,878800,404200,bachelors,travel,1,basic,no,0
59,1361200,511800,bachelors,education,0,good,no,1
66,842600,384400,masters,business,0,fluent,no,1
18,925000,386400,high_school,education,0,fluent,no,0
72,1021100,680900,bachelors,medical,1,basic,no,0
64,1192700,691200,bachelors,business,3,fluent,no,1
64,1111400,380900,phd,education,8,basic,no,1
42,1583900,864200,masters,medical,0,fluent,no,1
68,241500,109600,high_school,business,0,good,yes,0
42,990600,832600,masters,travel,0,good,no,1
21,1439700,1179500,masters,medical,0,basic,no,0
75,890400,545800,bachelors,medical,4,good,no,1
32,987200,862800,high_school,business,0,fluent,no,1
24,495600,213800,high_school,travel,9,basic,no,1
57,559800,120900,bachelors,education,6,fluent,no,1
32,307100,57000,bachelors,business,2,fluent,no,1
72,837100,648800,masters,travel,7,fluent,no,1
45,1005300,439900,bachelors,business,3,good,no,1
18,1149700,914200,bachelors,business,10,fluent,no,1
77,250300,123700,high_school,travel,0,good,no,0
50,1444000,228700,bachelors,education,10,good,no,1
34,316200,172800,high_school,travel,0,good,no,0
60,707700,421700,bachelors,education,1,good,no,1
51,395200,193100,high_school,travel,8,basic,yes,0
19,951700,740900,bachelors,business,1,good,no,1
65,796700,504300,bachelors,business,0,good,no,1
43,1412200,598100,masters,business,0,good,no,1
62,1489700,1026800,high_school,travel,0,basic,no,0
74,941600,367000,bachelors,business,1,good,no,1
56,550900,429100,bachelors,business,1,fluent,no,1
60,696300,250700,high_school,business,2,fluent,no,1
34,1575100,1023700,high_school,education,5,basic,no,1
32,1085400,500700,bachelors,travel,0,fluent,no,1
44,1272600,287500,bachelors,medical,6,fluent,no,1
71,449900,280000,phd,education,3,fluent,no,1
51,668500,292300,high_school,travel,5,fluent,yes,0
39,839300,525100,masters,business,5,fluent,yes,0
67,669100,371300,masters,travel,7,good,no,1
71,960800,174100,masters,business,0,fluent,no,1
74,803100,243900,bachelors,travel,3,fluent,no,1
36,766600,517700,phd,travel,7,basic,no,1
62,839100,420200,bachelors,travel,4,fluent,no,1
55,884100,441900,masters,business,0,fluent,yes,0
46,1113300,169000,bachelors,education,3,fluent,no,1
43,1102300,415700,masters,education,5,fluent,no,1
25,1329000,866600,phd,education,0,good,no,1
35,1852100,1509900,phd,travel,3,good,no,1
52,1026500,595900,bachelors,travel,6,good,yes,0
73,969400,538500,masters,business,2,fluent,no,1
72,171500,86200,high_school,education,0,fluent,no,0
29,1290200,850100,masters,travel,2,fluent,yes,0
60,458100,342900,bachelors,business,3,fluent,no,1
23,927600,292700,masters,travel,1,fluent,no,1
60,927800,636000,bachelors,medical,4,basic,no,1
39,1124900,374500,high_school,travel,1,fluent,no,1
46,1488500,258800,high_school,travel,6,basic,no,1
63,325600,67100,high_school,travel,5,good,no,0
44,366900,67800,bachelors,travel,5,basic,no,1
68,1163500,419000,masters,travel,2,good,no,1
51,1111400,272700,masters,business,0,good,no,1
80,502200,107400,masters,travel,4,basic,no,0
58,963800,251300,masters,education,0,good,no,1
36,1050900,187700,bachelors,business,2,fluent,no,1
66,384600,156800,bachelors,education,0,basic,no,0
43,437800,335800,bachelors,business,2,fluent,no,1
51,379200,214400,high_school,education,4,basic,no,1
26,673200,133800,bachelors,travel,1,basic,no,0
25,1424700,614300,masters,education,1,basic,no,1
54,632200,298600,bachelors,travel,0,good,no,1
29,1002700,280100,masters,medical,1,good,no,1
80,1858700,798800,high_school,travel,1,good,no,0
71,574800,231400,masters,education,6,fluent,no,1
62,377300,196300,high_school,education,7,good,no,1
64,1412300,950400,masters,business,8,fluent,no,1
55,930500,473700,high_school,business,0,fluent,no,1
21,950400,195300,bachelors,travel,0,good,no,0
42,2046000,391600,bachelors,business,2,basic,no,1
49,900800,735000,bachelors,travel,3,basic,no,1
75,255200,171300,bachelors,travel,4,good,no,0
31,570000,366400,high_school,travel,5,good,yes,0
49,552600,461400,bachelors,business,2,good,no,1
39,2313400,1286500,phd,education,2,fluent,no,1
26,1286000,264000,bachelors,travel,8,fluent,no,1
24,315600,216400,bachelors,education,0,good,no,0
41,2044100,555400,masters,business,5,good,no,1
23,1268200,823900,bachelors,travel,4,basic,no,1
22,813700,366600,masters,business,0,good,no,1
40,724600,124000,bachelors,education,7,fluent,no,1
30,1626900,311800,bachelors,travel,6,good,no,1
52,182700,81200,high_school,medical,5,basic,no,0
19,690400,411400,high_school,travel,0,good,no,0
37,1380300,384000,bachelors,travel,0,basic,no,1
46,926300,213100,masters,business,4,good,no,1
78,771700,333500,high_school,travel,0,good,no,0
57,1143800,861400,phd,travel,0,good,no,1
73,491500,362700,bachelors,travel,1,good,no,0
39,484800,321500,bachelors,business,0,fluent,yes,0
46,1438800,674800,masters,business,4,basic,no,1
44,685700,330100,masters,business,2,fluent,no,1
73,327100,104500,bachelors,medical,0,basic,no,0
78,809200,204600,bachelors,travel,2,basic,no,0
78,407500,66000,high_school,business,0,fluent,no,0
65,391200,311000,bachelors,medical,0,good,no,0
49,1011800,528300,masters,business,2,good,no,1
52,1153700,175700,bachelors,travel,2,good,no,1
79,983500,537900,masters,education,1,fluent,no,1
35,300600,103300,high_school,medical,3,fluent,yes,0
39,986100,464000,bachelors,education,1,good,no,1
74,1336800,874700,bachelors,travel,3,basic,no,0
42,2555200,1935100,bachelors,medical,1,good,no,1
32,1671900,1129100,bachelors,business,4,good,no,1
53,621700,511200,phd,medical,3,basic,no,1
38,1559300,508400,masters,education,0,good,yes,0
74,1120000,723600,masters,medical,4,good,no,1
75,286700,234300,high_school,business,5,basic,no,0
37,1263300,481800,phd,business,0,fluent,no,1
51,2794200,2094500,masters,education,3,fluent,no,1
79,1877600,1605700,masters,travel,5,fluent,no,1
64,433300,274200,bachelors,travel,0,basic,no,0
31,544500,148800,high_school,medical,7,basic,no,1
55,1274700,440600,masters,travel,1,basic,no,1
57,292200,192800,bachelors,travel,4,basic,no,1
59,297700,238100,bachelors,travel,7,basic,no,1
19,823700,138200,bachelors,business,9,good,no,1
36,829600,327500,bachelors,business,3,good,no,1
71,275200,89500,bachelors,business,4,good,no,1
33,1204000,561700,masters,education,0,fluent,yes,0
36,1375500,999100,bachelors,education,0,fluent,no,1
38,670900,353600,bachelors,travel,6,basic,no,1
29,558400,300800,high_school,travel,1,fluent,no,1
27,1479800,897900,phd,education,6,good,no,1
39,963100,516900,bachelors,education,0,good,no,1
73,302200,201300,bachelors,medical,0,fluent,no,0
18,459800,105900,bachelors,travel,0,good,no,0
35,608500,101700,bachelors,education,2,good,no,1
21,605800,466500,masters,travel,0,good,no,1
53,1210800,616500,high_school,travel,1,good,no,1
33,1378800,515500,masters,medical,9,good,no,1
67,293500,144000,high_school,travel,5,good,no,0
54,960600,612400,phd,travel,5,good,no,1
67,1408700,339900,bachelors,travel,0,basic,no,0
57,378700,205500,high_school,travel,1,good,no,0
45,1208400,281600,bachelors,travel,4,basic,no,1
72,1618800,1286400,bachelors,education,0,fluent,no,1
48,2109600,1206200,phd,travel,1,good,no,1
77,1074100,814300,masters,business,7,good,no,1
80,1505300,1039800,bachelors,medical,0,good,no,0
55,567600,432200,bachelors,travel,7,basic,no,1
60,4241300,1723500,phd,medical,0,basic,no,1
34,1110400,282700,masters,business,0,good,no,1
69,1421500,1163800,bachelors,travel,0,good,no,1
60,619900,504300,bachelors,travel,8,good,no,1
74,995600,808900,bachelors,education,3,fluent,yes,0
34,1311500,1169800,masters,business,5,good,no,1
67,453900,271000,bachelors,medical,1,basic,no,0
47,574100,306800,masters,travel,6,good,no,1
29,676000,505600,bachelors,travel,3,basic,no,1
28,1389400,323200,bachelors,travel,3,basic,no,1
53,276300,203700,bachelors,business,5,fluent,no,1
38,796700,604800,masters,travel,5,fluent,yes,0
24,1554900,906300,bachelors,business,4,fluent,no,1
44,493900,217800,masters,travel,0,basic,no,1
59,1507700,968200,bachelors,travel,6,basic,no,1
38,523100,437400,masters,travel,0,good,no,1
78,587500,157700,masters,business,10,fluent,no,1
67,897000,343800,masters,business,1,basic,no,1
50,2119900,1385500,bachelors,business,0,basic,no,1
76,684000,530000,masters,business,1,basic,no,1
45,208300,133100,high_school,travel,3,fluent,no,1
26,249900,148200,high_school,business,1,fluent,no,1
20,1623900,348000,masters,medical,6,good,no,1
77,461700,219400,masters,business,4,basic,no,0
78,1038600,849200,high_school,business,0,fluent,no,1
64,1123000,473000,phd,medical,2,good,no,1
24,743200,323900,bachelors,business,5,good,no,1
36,1272700,532200,phd,travel,7,basic,no,1
20,626100,264300,masters,medical,1,good,no,0
21,1165900,528800,phd,medical,7,basic,no,1
33,504600,368400,masters,education,0,fluent,no,1
54,2269400,1114900,phd,business,4,good,yes,0
22,430000,260300,bachelors,travel,5,good,no,1
80,687900,331400,high_school,medical,1,good,no,0
46,428200,344900,bachelors,medical,0,good,no,0
34,725400,206100,masters,business,4,basic,no,1
50,439900,106500,high_school,travel,1,good,no,0
67,5569900,2538700,phd,travel,0,basic,no,1
37,536100,472200,high_school,business,0,good,yes,0
20,619100,417800,masters,education,5,fluent,no,1
21,592400,362700,bachelors,business,0,fluent,no,1
71,425200,188300,masters,travel,2,good,no,0
25,988200,367000,phd,business,9,good,no,1
58,2094000,1816400,bachelors,travel,5,good,no,1
42,1170100,550200,masters,business,2,good,yes,0
66,888100,606900,high_school,travel,2,fluent,no,1
21,589700,446900,masters,business,0,fluent,no,1
74,869700,559300,masters,medical,1,fluent,yes,0
61,846300,274600,bachelors,business,0,good,no,1
46,362600,132700,high_school,travel,0,fluent,no,0
31,942700,157700,bachelors,business,0,basic,no,1
79,758000,664800,high_school,business,3,good,no,0
37,1311100,1017400,masters,business,0,basic,no,1
48,696200,315400,bachelors,business,0,basic,no,1
42,1969200,1613400,phd,business,6,fluent,no,1
32,938000,248800,phd,travel,0,good,no,1
44,892100,161900,phd,education,4,good,no,1
27,1671600,420400,bachelors,business,1,fluent,no,1
18,411500,334400,bachelors,travel,3,good,no,0
36,381200,103100,masters,travel,0,good,no,1
25,603500,121400,masters,business,0,fluent,no,1
44,1337300,386700,phd,travel,5,good,no,1
72,1532600,707000,bachelors,business,2,fluent,no,1
28,375800,196300,high_school,business,0,good,yes,0
18,2932300,958700,phd,travel,1,fluent,no,1
24,987300,744700,masters,medical,2,basic,no,1
50,507100,441100,high_school,medical,0,basic,no,0
35,609500,224400,masters,medical,2,fluent,no,1
48,1580500,1340800,high_school,travel,2,basic,no,1
19,696500,531700,bachelors,business,3,basic,no,1
38,363600,296200,bachelors,travel,5,good,no,1
43,2923200,569400,bachelors,business,1,good,no,1
45,671000,520400,high_school,business,7,fluent,no,1
52,1173900,691900,bachelors,business,2,fluent,no,1
67,1907600,340900,bachelors,travel,2,good,no,1
47,757600,541900,high_school,travel,3,fluent,no,1
70,1293200,428400,bachelors,business,3,fluent,no,1
51,779500,582900,bachelors,education,0,fluent,no,1
34,1456200,902100,masters,travel,9,basic,no,1
32,954600,495700,masters,medical,8,good,no,1
38,534400,89500,high_school,business,0,basic,no,1
55,577100,471600,high_school,travel,2,basic,no,0
33,781900,203800,masters,business,5,fluent,no,1
75,1283600,991300,masters,travel,7,basic,no,1
48,1424300,948800,phd,business,3,fluent,no,1
72,1695600,342800,phd,business,0,fluent,no,1
61,1075500,598700,bachelors,travel,4,basic,no,1
39,2922100,2546100,masters,business,0,good,no,1
32,1349700,1136600,bachelors,business,4,fluent,no,1
64,867900,225400,masters,medical,3,fluent,no,1
38,1386600,388100,phd,business,3,good,no,1
33,2115400,561100,masters,travel,0,fluent,no,1
76,448600,321700,bachelors,travel,2,fluent,no,0
48,2290600,619800,bachelors,business,3,fluent,no,1
21,494100,98000,bachelors,travel,1,good,no,0
49,1241200,549500,bachelors,business,0,fluent,no,1
47,976200,854300,masters,education,0,fluent,yes,0
72,945800,360500,masters,business,6,good,no,1
62,263900,182900,high_school,business,2,fluent,no,1
30,1602200,413300,masters,travel,3,fluent,no,1
27,372500,229400,bachelors,medical,2,good,no,0
56,342100,200400,bachelors,education,6,fluent,no,1
20,1431600,1185600,bachelors,medical,2,good,no,1
38,2024300,1391500,bachelors,education,0,fluent,no,1
26,673900,162100,masters,education,0,fluent,yes,0
19,1688700,766000,masters,travel,0,basic,no,0
75,1507400,226700,masters,medical,6,basic,no,1
23,719400,237900,bachelors,travel,3,basic,no,0
18,2027800,1781400,masters,travel,5,fluent,no,1
76,493900,242900,high_school,travel,4,good,no,0
29,1005600,805200,bachelors,travel,6,fluent,no,1
69,379600,63700,bachelors,business,9,good,no,1
19,499700,404800,masters,travel,3,basic,no,0
27,2055700,1679600,phd,travel,0,fluent,no,1
24,1024400,655700,bachelors,education,0,good,no,1
62,899400,213300,masters,travel,3,good,yes,0
57,2160400,1743500,bachelors,education,5,basic,yes,0
47,2147900,1771800,bachelors,travel,2,basic,no,1
33,1238400,372500,masters,education,1,basic,no,1
23,436800,373500,masters,business,4,good,no,1
53,914800,741700,masters,medical,1,good,no,1
32,615300,186800,masters,travel,0,basic,no,0
55,794700,353900,bachelors,business,6,basic,no,1
61,645800,259900,phd,business,3,good,no,1
71,559700,293100,phd,business,0,good,no,1
49,218000,178100,bachelors,travel,1,fluent,no,1
18,592400,477300,high_school,education,3,good,no,0
35,213700,60200,bachelors,medical,1,basic,no,0
71,815600,459500,masters,education,0,good,yes,0
51,1583400,871700,phd,travel,3,fluent,no,1
57,653900,319000,masters,travel,4,fluent,no,1
46,416600,285800,bachelors,education,0,fluent,no,1
28,520600,330300,high_school,education,2,fluent,no,1
74,479600,170900,bachelors,business,3,fluent,no,1
66,837800,344400,bachelors,medical,1,fluent,no,0
80,306200,249900,high_school,travel,1,basic,no,0
71,510200,201200,high_school,education,1,fluent,no,0
36,446600,215700,high_school,medical,1,fluent,no,0
34,537000,472400,high_school,education,5,fluent,no,1
33,2390800,1895800,masters,business,2,good,no,1
75,844400,569300,bachelors,travel,10,fluent,no,1
53,998400,377400,bachelors,business,1,good,no,1
46,536500,333500,bachelors,education,4,good,no,1
79,1221900,771600,phd,business,2,good,no,1
56,836200,383500,masters,education,5,good,no,1
75,769000,136200,bachelors,medical,7,good,no,1
80,1389900,590600,masters,business,2,good,no,1
23,738700,392300,masters,travel,2,basic,no,1
40,781400,674000,masters,travel,8,basic,no,1
64,578900,402700,bachelors,travel,8,good,no,1
69,572800,132300,bachelors,business,10,fluent,no,1
27,832100,312900,bachelors,business,0,fluent,no,1
38,619300,335200,bachelors,travel,0,basic,no,0
52,1724300,842000,bachelors,travel,1,fluent,no,1
68,3301900,508000,bachelors,travel,4,good,no,1
25,553500,471200,bachelors,business,0,basic,no,1
55,889300,736400,bachelors,travel,1,basic,no,1
36,1338900,1128400,bachelors,travel,3,good,no,1
31,466900,220100,high_school,business,0,good,no,1
50,437800,339300,bachelors,education,4,basic,no,1
44,1967900,1340900,bachelors,travel,0,basic,no,1
58,1418600,757300,masters,travel,6,basic,no,1
38,901400,187400,bachelors,medical,1,basic,no,0
69,1199900,331000,high_school,travel,3,basic,no,0
22,825400,271300,high_school,travel,2,fluent,no,0
72,736800,605600,bachelors,business,0,fluent,no,1
19,315800,205000,high_school,business,1,good,yes,0
64,576700,511700,bachelors,business,6,fluent,no,1
39,1467600,843600,bachelors,education,2,good,no,1
42,1572700,335800,phd,education,0,basic,no,1
19,877800,446200,masters,business,4,good,yes,0
62,1427700,333900,high_school,business,0,good,no,1
28,693800,573100,bachelors,travel,2,good,no,1
59,1674300,600800,masters,travel,2,good,no,1
63,853800,254400,bachelors,travel,2,good,no,1
71,3129100,1670100,phd,education,0,good,no,1
62,1144700,864600,bachelors,medical,0,fluent,no,0
36,554300,295300,high_school,business,0,good,no,1
64,489800,87500,high_school,education,1,good,no,0
70,1071600,757900,phd,travel,3,good,no,1
37,725200,127300,phd,travel,3,good,no,1
25,458700,276700,masters,medical,0,good,no,0
74,896500,549300,bachelors,business,0,fluent,no,1
27,725300,222200,masters,education,3,good,no,1
55,402400,195100,high_school,education,2,good,no,0
32,720400,111400,bachelors,medical,6,fluent,no,1
25,1001000,363100,masters,travel,0,good,no,1
66,1085100,666800,phd,travel,0,fluent,no,1
27,1968000,714600,bachelors,education,1,good,no,1
60,1089000,202300,bachelors,education,3,good,no,1
61,1722500,1129400,high_school,travel,2,good,no,1
21,594200,420000,bachelors,education,0,good,no,0
28,831500,662900,high_school,business,0,fluent,no,1
68,787700,635400,masters,travel,4,basic,no,1
49,396900,207300,high_school,medical,0,good,no,0
25,3165500,1441900,masters,travel,3,good,no,1
80,495800,292200,bachelors,travel,0,fluent,no,0
34,221700,165100,bachelors,medical,1,good,no,0
18,512500,259600,bachelors,education,0,fluent,no,0
76,250700,224700,bachelors,medical,9,fluent,no,1
19,448300,281600,bachelors,travel,0,basic,no,0
52,471800,179800,bachelors,medical,0,fluent,no,0
80,1101900,821200,phd,business,6,fluent,no,1
54,245000,64500,bachelors,travel,0,basic,no,0
54,1460400,1244000,bachelors,travel,0,good,no,1
42,385200,156100,phd,education,0,good,no,1
25,705200,468100,bachelors,medical,4,good,no,1
54,813800,503700,masters,education,1,basic,no,1
74,1701600,377600,phd,travel,6,good,no,1
23,1180100,815700,masters,travel,4,good,yes,0
73,1453200,557800,bachelors,travel,2,good,no,1
44,797300,347500,masters,travel,0,basic,no,1
51,585900,130300,bachelors,business,5,fluent,no,1
28,949300,719200,bachelors,travel,6,good,no,1
57,1903500,1513700,phd,medical,6,good,no,1
29,1190900,298600,bachelors,education,0,good,no,1
35,1161000,881700,masters,education,4,basic,no,1
63,859800,708000,bachelors,travel,4,good,no,1
21,529700,118100,high_school,travel,8,fluent,no,1
46,947800,851200,bachelors,business,0,good,no,1
55,2978700,457000,masters,travel,5,good,no,1
26,662000,517600,bachelors,travel,4,basic,no,1
36,796000,452700,masters,business,6,fluent,no,1
39,593600,515200,bachelors,business,4,good,no,1
59,1338800,540300,phd,education,6,good,no,1
79,235500,99100,bachelors,travel,1,good,yes,0
70,903000,704600,masters,travel,0,basic,no,0
29,1227900,838700,bachelors,business,1,good,no,1
19,566400,340100,bachelors,travel,5,good,no,1
21,1197600,758400,phd,travel,0,good,no,1
55,1724000,1141300,high_school,travel,3,fluent,no,1
27,907900,168800,bachelors,travel,9,good,no,1
32,283900,67700,masters,business,7,fluent,no,1
71,447900,128100,masters,medical,4,good,no,1
73,847200,239400,masters,business,5,basic,no,1
70,625100,488900,masters,travel,0,basic,no,0
33,1144000,510100,phd,business,2,good,no,1
57,643400,332700,bachelors,travel,2,basic,no,1
56,1436600,311800,bachelors,business,5,fluent,no,1
29,533700,428500,masters,medical,0,good,no,0
52,867800,136900,masters,travel,0,good,no,1
51,609000,129400,high_school,travel,4,good,no,1
42,912600,692700,bachelors,business,2,good,no,1
65,820100,203300,bachelors,business,6,fluent,no,1
60,258200,192400,masters,travel,2,basic,no,0
51,792000,326900,bachelors,travel,6,basic,no,1
63,895300,655400,masters,travel,2,basic,no,1
66,1564500,293800,masters,medical,5,basic,no,1
53,1125900,457100,bachelors,education,4,fluent,no,1
34,863700,441300,bachelors,medical,0,basic,no,0
65,898700,556500,bachelors,business,1,good,no,1
63,1136900,883600,high_school,education,7,fluent,no,1
79,1424200,474800,bachelors,travel,0,fluent,no,0
27,880200,567000,bachelors,travel,4,good,no,1
44,3165300,835100,masters,medical,0,good,no,1
76,535500,399700,bachelors,education,5,fluent,no,1
50,281500,239300,high_school,medical,0,basic,no,0
77,752000,139500,bachelors,education,3,good,no,0
18,791900,166200,masters,business,2,basic,no,1
20,195000,144400,bachelors,education,0,good,no,0
68,528400,428100,bachelors,travel,2,fluent,no,1
40,1305500,830500,phd,medical,6,good,no,1
50,523400,259500,high_school,education,4,fluent,no,1
44,493600,358700,bachelors,business,10,fluent,no,1
43,774300,290200,bachelors,business,5,fluent,no,1
77,1040800,930300,masters,business,3,fluent,no,1
23,1441300,1132900,masters,travel,2,good,no,1
66,379700,309600,high_school,business,8,good,no,1
74,1572900,1244400,masters,education,2,good,no,1
59,533900,453600,masters,travel,1,good,no,1
42,737400,146300,masters,education,6,good,no,1
28,2751300,2287600,phd,business,8,good,no,1
61,553900,186400,masters,travel,2,basic,no,1
47,376100,157700,high_school,business,0,fluent,no,1
27,379700,162500,bachelors,medical,3,basic,no,0
40,685700,222400,phd,business,4,good,no,1
78,816300,390900,bachelors,business,1,good,no,1
34,1115800,590400,bachelors,business,4,good,no,1
29,1069700,279700,phd,education,2,fluent,no,1
60,813600,341400,masters,business,1,good,no,1
30,491000,201900,masters,travel,3,good,no,1
75,652000,427700,masters,education,1,basic,no,0
72,230900,135200,high_school,education,5,fluent,no,0
79,1458500,1002100,masters,business,0,fluent,no,1
75,1683700,1242500,phd,business,5,good,no,1
33,528500,343700,high_school,travel,1,basic,no,0
31,688900,228000,high_school,business,8,fluent,no,1
39,1574900,829300,masters,education,5,fluent,no,1
47,799800,399800,bachelors,travel,0,good,no,1
73,1163000,239000,high_school,travel,9,basic,yes,0
64,430800,353600,bachelors,business,2,basic,no,1
58,624500,136500,bachelors,travel,2,basic,yes,0
73,584900,516100,bachelors,business,7,fluent,no,1
58,1388500,241300,masters,education,7,fluent,no,1
41,442000,308200,masters,business,4,fluent,no,1
44,2156900,788700,masters,medical,9,good,no,1
50,736000,609800,high_school,education,1,basic,no,0
23,1981000,1521500,bachelors,business,0,fluent,yes,0
64,739800,124800,bachelors,business,0,good,no,1
59,718600,119600,masters,travel,1,basic,no,1
64,1551200,934400,phd,business,3,fluent,no,1
51,1333500,349600,bachelors,business,1,basic,no,1
67,729600,117200,phd,medical,3,fluent,no,1
77,180100,157700,high_school,travel,0,fluent,no,0
53,277100,173100,bachelors,business,1,fluent,no,1
45,1123000,177600,masters,travel,4,fluent,no,1
24,1764900,914000,bachelors,business,0,good,no,1
67,528400,141700,phd,medical,4,basic,no,1
74,465200,350700,high_school,business,5,fluent,no,1
62,803000,137700,masters,education,2,good,no,1
72,1553900,665400,high_school,education,7,fluent,no,1
72,1871600,614900,high_school,business,8,basic,no,1
68,955400,846200,bachelors,business,0,good,no,1
49,1771000,369400,phd,travel,4,good,yes,0
24,1220900,842300,bachelors,medical,0,good,no,0
18,374100,190200,bachelors,travel,1,fluent,no,0
30,793500,604900,high_school,education,3,fluent,no,1
45,308400,95800,high_school,education,4,good,no,1
64,491700,389200,high_school,education,6,good,no,1
46,1820500,1570700,masters,travel,4,basic,no,1
19,565000,175100,high_school,travel,5,basic,no,0
31,1387300,460700,bachelors,education,3,good,no,1
79,1545800,1349100,bachelors,business,0,fluent,no,1
80,287800,136900,bachelors,medical,0,good,no,0
41,228400,177300,bachelors,business,2,good,no,1
68,1023900,800500,high_school,business,4,fluent,no,1
63,1465600,561500,bachelors,education,0,fluent,no,1
76,1120100,318200,masters,travel,1,basic,no,0
73,670500,284900,high_school,business,0,good,no,1
57,1589600,944100,masters,business,2,fluent,no,1
42,874100,457000,high_school,travel,1,fluent,no,1
57,914200,642300,phd,education,0,fluent,no,1
38,1828200,1026700,phd,business,0,good,no,1
39,446600,336800,high_school,business,1,fluent,no,1
56,864900,197200,bachelors,travel,2,fluent,no,1
53,844500,404800,bachelors,medical,7,basic,no,1
54,606300,98200,masters,business,0,good,no,1
42,502700,121000,bachelors,medical,2,fluent,no,1
43,2585000,1030500,bachelors,medical,2,basic,no,1
18,330900,273400,high_school,business,3,fluent,no,1
55,662300,288200,high_school,education,1,fluent,no,1
54,1338000,475100,masters,education,0,basic,no,1
76,734300,479600,bachelors,travel,7,good,no,1
49,1407200,953500,masters,travel,8,good,no,1
47,1165600,595600,masters,education,1,fluent,no,1
22,468800,171800,bachelors,education,3,fluent,no,1
30,1016300,382500,bachelors,education,0,fluent,no,1
39,801000,231600,phd,medical,0,basic,no,0
41,2533600,1069000,masters,travel,0,fluent,no,1
40,1231600,340200,masters,education,4,fluent,no,1
42,735300,464900,phd,medical,0,good,no,1
66,913200,749800,bachelors,business,0,fluent,no,1
26,584900,199300,masters,business,0,basic,no,1
38,1120800,371700,masters,travel,0,fluent,no,1
28,477300,393100,high_school,medical,1,basic,no,0
37,480100,276500,bachelors,business,2,good,no,1
61,476800,332500,bachelors,education,3,fluent,no,1
20,2886900,2358200,bachelors,business,2,fluent,no,1
39,568200,368600,high_school,travel,2,fluent,no,1
19,767100,542200,masters,travel,5,good,no,1
78,697400,307000,masters,business,0,good,no,1
63,980300,836800,bachelors,medical,0,good,no,0
33,380300,257800,high_school,business,6,basic,no,1
30,414300,84400,bachelors,medical,4,fluent,no,1
24,530800,316600,high_school,business,2,fluent,no,1
47,740100,163600,bachelors,medical,0,good,no,0
65,601500,325800,bachelors,travel,0,basic,no,0
54,595700,128900,masters,business,0,good,no,1
73,610100,378500,bachelors,business,6,fluent,no,1
39,584300,287600,bachelors,business,3,fluent,no,1
35,696100,393200,masters,travel,0,basic,no,1
48,880800,560800,bachelors,education,0,basic,no,1
30,3309200,1117700,masters,travel,0,good,no,1
79,1124100,438000,high_school,travel,0,basic,no,0
29,2201200,1126000,bachelors,travel,2,fluent,no,1
48,395400,227200,high_school,travel,1,good,no,0
50,1900400,1601500,bachelors,education,7,basic,no,1
21,1224600,506900,phd,travel,4,fluent,no,1
47,1673300,993600,masters,education,7,good,no,1
46,973100,819300,bachelors,medical,6,basic,no,1
34,626400,431200,bachelors,travel,7,good,no,1
26,1605400,636100,phd,business,9,basic,no,1
20,987700,455400,bachelors,business,1,good,no,1
18,286100,231500,bachelors,travel,0,fluent,no,0
48,1009400,482800,phd,travel,0,fluent,yes,0
23,1222400,414400,bachelors,medical,3,basic,no,0
78,881200,477900,bachelors,travel,4,good,no,0
33,699600,202500,high_school,travel,0,basic,no,0
59,357400,209600,high_school,education,6,good,no,1
60,1119800,1000700,masters,business,5,good,yes,0
49,717500,629200,bachelors,education,3,good,no,1
73,966300,589800,phd,business,1,good,no,1
24,371900,303000,high_school,travel,0,fluent,no,0
32,1251200,952600,bachelors,medical,2,fluent,no,1
